iter	Passed	Remaining
0	6	3122
1	12	2856
2	17	2757
3	23	2712
4	29	2711
5	35	2739
6	45	3022
7	53	3078
8	58	3014
9	64	2985
10	70	2931
11	75	2875
12	80	2845
13	86	2803
14	91	2767
15	96	2732
16	101	2705
17	106	2674
18	111	2653
19	117	2633
20	122	2615
21	128	2607
22	133	2588
23	138	2571
24	143	2554
25	148	2537
26	153	2523
27	159	2510
28	164	2495
29	169	2482
30	174	2468
31	179	2458
32	184	2446
33	189	2432
34	194	2420
35	200	2411
36	206	2416
37	211	2406
38	216	2396
39	221	2385
40	227	2375
41	232	2365
42	237	2356
43	243	2358
44	249	2352
45	254	2343
46	259	2333
47	264	2324
48	269	2315
49	274	2307
50	279	2300
51	285	2291
52	290	2283
53	295	2274
54	300	2266
55	305	2258
56	310	2250
57	315	2243
58	320	2236
59	326	2228
60	331	2221
61	336	2213
62	341	2205
63	346	2197
64	351	2189
65	356	2181
66	361	2173
67	366	2166
68	371	2158
69	376	2151
70	381	2144
71	386	2139
72	392	2132
73	397	2125
74	403	2124
75	408	2117
76	413	2110
77	418	2103
78	423	2096
79	428	2089
80	433	2082
81	438	2076
82	443	2069
83	448	2062
84	454	2056
85	459	2050
86	464	2043
87	469	2038
88	474	2031
89	479	2025
90	485	2020
91	490	2014
92	495	2008
93	500	2001
94	505	1994
95	510	1987
96	515	1980
97	519	1973
98	524	1966
99	529	1960
100	535	1954
101	539	1947
102	544	1941
103	550	1938
104	555	1931
105	560	1925
106	565	1920
107	571	1914
108	577	1911
109	582	1906
110	588	1904
111	593	1897
112	598	1891
113	603	1885
114	609	1879
115	614	1874
116	619	1868
117	624	1863
118	629	1857
119	635	1852
120	640	1846
121	645	1840
122	650	1834
123	655	1828
124	660	1823
125	665	1817
126	670	1811
127	675	1805
128	680	1798
129	685	1793
130	690	1786
131	695	1781
132	700	1775
133	705	1769
134	710	1763
135	715	1757
136	720	1751
137	725	1744
138	730	1738
139	736	1734
140	741	1729
141	746	1723
142	751	1718
143	756	1712
144	761	1706
145	766	1700
146	771	1694
147	775	1688
148	780	1682
149	787	1679
150	792	1674
151	797	1667
152	802	1662
153	807	1656
154	812	1650
155	817	1644
156	822	1639
157	827	1633
158	832	1628
159	837	1622
160	842	1617
161	847	1611
162	852	1605
163	857	1599
164	862	1593
165	866	1587
166	871	1581
167	876	1575
168	881	1570
169	886	1564
170	891	1558
171	896	1552
172	901	1546
173	905	1541
174	910	1535
175	915	1529
176	920	1523
177	925	1518
178	930	1512
179	935	1507
180	940	1501
181	945	1496
182	950	1491
183	955	1485
184	960	1479
185	965	1474
186	970	1468
187	975	1463
188	980	1457
189	987	1454
190	992	1449
191	997	1444
192	1002	1438
193	1008	1434
194	1013	1429
195	1019	1425
196	1025	1420
197	1030	1415
198	1035	1410
199	1040	1405
200	1045	1399
201	1050	1393
202	1055	1388
203	1060	1382
204	1065	1377
205	1071	1373
206	1076	1367
207	1081	1362
208	1086	1357
209	1091	1351
210	1096	1346
211	1102	1341
212	1107	1336
213	1112	1330
214	1117	1325
215	1122	1319
216	1127	1314
217	1132	1308
218	1137	1303
219	1142	1297
220	1147	1292
221	1152	1287
222	1156	1281
223	1162	1276
224	1167	1270
225	1171	1265
226	1176	1259
227	1183	1256
228	1188	1250
229	1193	1245
230	1198	1239
231	1203	1234
232	1208	1229
233	1213	1224
234	1218	1218
235	1223	1213
236	1229	1208
237	1234	1203
238	1240	1198
239	1245	1193
240	1249	1187
241	1254	1182
242	1259	1176
243	1264	1171
